# Model: wabs(mekal) for r2500 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1RXS_J2129.4-0741           3595   0.00   1.69  4.36  0.00  0.00  9.04  7.41 11.48  0.41  0.19  0.65   2.03e-03   1.88e-03   2.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5700  0.097   71.1   1.02     69
3C_220.1                     839   0.00   1.46  1.91  0.00  0.00  8.33  5.67 13.55  0.00  0.00  0.19   8.72e-04   7.85e-04   9.84e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6100  0.047   68.3   1.05     39
3C_28.0                     3233   0.00   2.30  5.71  0.00  0.00  5.39  5.00  5.83  0.22  0.15  0.29   4.58e-03   4.43e-03   4.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.197   83.2   0.94    231
3C_295                      2254   0.00   1.64  1.35  0.00  0.00  5.82  5.30  6.44  0.43  0.33  0.54   1.53e-03   1.47e-03   1.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.072   85.1   1.22    159
3C_388                      5295   0.00   4.10  6.11  0.00  0.00  3.38  3.06  3.78  0.82  0.56  1.13   2.70e-03   2.45e-03   2.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.109   73.2   0.97    147
4C_55.16                    4940   0.00   2.02  4.00  0.00  0.00  4.54  4.31  4.78  0.48  0.41  0.55   4.42e-03   4.30e-03   4.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.215   58.1   0.94    272
ABELL_0068                  3250   0.00   3.01  4.60  0.00  0.00  7.83  6.45  9.80  0.36  0.17  0.57   4.79e-03   4.46e-03   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2546  0.234   70.3   0.98     90
ABELL_0085                   904   0.00   4.81  3.65  0.00  0.00  6.34  6.17  6.52  0.49  0.46  0.52   4.74e-02   4.68e-02   4.80e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  2.187   95.3   1.21    345
ABELL_0133                  2203   0.00   2.57  1.56  0.00  0.00  3.77  3.59  3.96  0.66  0.57  0.75   1.17e-02   1.13e-02   1.21e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.548   84.4   1.11    263
ABELL_0267                  3580   0.00   2.67  2.74  0.00  0.00  8.40  7.13 10.05  0.30  0.15  0.45   4.33e-03   4.12e-03   4.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.214   76.1   1.09    136
ABELL_0370                   515   0.00   1.96  3.37  0.00  0.00 19.40 14.69 26.47  0.44  0.23  0.65   2.47e-03   2.38e-03   2.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3747  0.157   75.1   1.07    237
ABELL_0383                  2321   0.00   2.39  4.07  0.00  0.00  4.86  4.44  5.34  0.57  0.44  0.70   6.09e-03   5.81e-03   6.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1871  0.321   71.2   1.04    163
ABELL_0399                  3230   0.00   6.65 11.51  0.00  0.00  7.36  6.98  7.78  0.12  0.07  0.17   2.08e-02   2.05e-02   2.12e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0716  0.899   73.0   1.31    346
ABELL_0478                  1669   0.00   3.39 30.90  0.00  0.00  7.01  6.85  7.18  0.35  0.33  0.37   6.79e-02   6.73e-02   6.84e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.394   89.1   1.16    350
ABELL_0478                  6102   0.00   5.95 30.90  0.00  0.00  7.30  6.93  7.70  0.42  0.37  0.48   6.87e-02   6.74e-02   7.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  3.168   89.6   0.93    332
ABELL_0496                  3361   0.00   2.46  4.57  0.00  0.00  4.39  4.15  4.66  0.64  0.55  0.74   3.05e-02   2.94e-02   3.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0328  1.505   93.8   0.93    238
ABELL_0520                  4215   0.00   3.08  7.84  0.00  0.00  8.59  8.01  9.26  0.26  0.19  0.33   7.06e-03   6.92e-03   7.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2020  0.338   79.4   1.11    321
