# Model: wabs(mekal+mekal/b) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
# Model: wabs(mekal+mekal/b) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
2A_0335+096                  919   1.31   1.70 18.11  0.00  0.00  3.84  3.72  3.97  0.74  0.66  0.84   6.79e-03   6.59e-03   6.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.790   88.9   1.40    233
2A_0335+096                  919   1.70   2.19 18.11  0.00  0.00  3.99  3.85  4.12  0.78  0.69  0.88   7.19e-03   6.98e-03   7.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.834   82.5   1.11    246
2A_0335+096                  919   2.19   4.00 18.11  0.00  0.00  4.38  4.27  4.50  0.60  0.54  0.66   1.77e-02   1.74e-02   1.80e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  1.888   60.9   1.45    346
3C_28.0                     3233   0.25   0.55  5.71  0.00  0.00  3.64  3.42  3.89  0.46  0.32  0.60   9.41e-04   8.88e-04   9.91e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.068   96.8   1.01    124
3C_28.0                     3233   0.55   1.05  5.71  0.00  0.00  6.01  5.44  6.71  0.32  0.16  0.48   9.00e-04   8.63e-04   9.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.062   90.5   0.83    134
3C_28.0                     3233   1.05   1.57  5.71  0.00  0.00  6.99  6.21  7.97  0.15  0.00  0.31   9.14e-04   8.73e-04   9.51e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.061   85.7   0.99    141
3C_28.0                     3233   1.57   2.19  5.71  0.00  0.00  7.31  6.43  8.48  0.37  0.18  0.57   8.60e-04   8.23e-04   9.03e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.060   79.0   1.07    147
3C_28.0                     3233   2.19   2.89  5.71  0.00  0.00  8.20  7.05  9.72  0.18  0.00  0.40   8.97e-04   8.54e-04   9.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.059   70.0   0.95    155
3C_28.0                     3233   2.89   3.62  5.71  0.00  0.00  7.70  6.66  9.17  0.24  0.01  0.48   8.91e-04   8.43e-04   9.37e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.058   63.8   0.99    167
3C_28.0                     3233   3.62   4.18  5.71  0.00  0.00  5.76  5.05  6.70  0.32  0.12  0.54   7.91e-04   7.43e-04   8.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.051   60.7   1.20    151
3C_28.0                     3233   0.00   0.25  5.71  0.00  0.00  3.00  2.85  3.16  0.66  0.50  0.84   9.31e-04   8.66e-04   9.98e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1952  0.073   99.2   1.17    118
3C_295                      2254   0.00   0.16  1.35  0.00  0.00  4.32  4.03  4.66  0.68  0.52  0.86   6.70e-04   6.34e-04   7.03e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.041   99.4   1.53    119
3C_295                      2254   0.16   0.56  1.35  0.00  0.00  5.52  5.02  6.12  0.24  0.12  0.37   6.54e-04   6.24e-04   6.80e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.036   94.5   1.03    122
3C_295                      2254   0.56   2.46  1.35  0.00  0.00  4.56  3.87  5.53  0.39  0.12  0.75   3.63e-04   3.27e-04   4.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4641  0.021   54.5   1.05    155
3C_388                      5295   0.00   0.83  6.11  0.00  0.00  3.29  3.10  3.49  1.05  0.82  1.33   1.10e-03   1.01e-03   1.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.113   95.2   1.10    123
3C_388                      5295   0.83   2.18  6.11  0.00  0.00  3.32  3.02  3.64  0.41  0.24  0.62   1.10e-03   1.01e-03   1.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.089   78.0   0.96    122
3C_388                      5295   2.18   3.90  6.11  0.00  0.00  2.91  2.48  3.16  0.47  0.22  0.84   6.32e-04   5.42e-04   7.28e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.051   58.5   0.88    108
3C_388                      5295   3.90   6.31  6.11  0.00  0.00  3.41  2.77  4.16  0.48  0.18  0.92   6.92e-04   5.97e-04   8.03e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0917  0.054   51.6   1.00    181
4C_55.16                    4940   0.00   0.11  4.00  0.00  0.00  3.18  3.04  3.33  0.69  0.57  0.83   6.75e-04   6.41e-04   7.11e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.069   98.9   1.14    130
4C_55.16                    4940   0.11   0.17  4.00  0.00  0.00  3.33  3.17  3.49  0.97  0.79  1.18   4.78e-04   4.45e-04   5.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.054   97.9   1.01    116
4C_55.16                    4940   0.17   0.25  4.00  0.00  0.00  4.12  3.87  4.38  0.67  0.50  0.86   5.00e-04   4.72e-04   5.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.051   95.9   0.99    121
4C_55.16                    4940   0.25   0.36  4.00  0.00  0.00  4.64  4.36  4.96  0.77  0.59  0.96   5.19e-04   4.93e-04   5.46e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.053   93.0   1.04    126
4C_55.16                    4940   0.36   0.51  4.00  0.00  0.00  4.72  4.41  5.06  0.52  0.38  0.67   6.09e-04   5.82e-04   6.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.058   88.4   1.23    135
4C_55.16                    4940   0.51   0.80  4.00  0.00  0.00  5.36  5.00  5.76  0.53  0.39  0.67   7.51e-04   7.24e-04   7.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.071   76.3   1.11    156
4C_55.16                    4940   0.80   1.97  4.00  0.00  0.00  5.54  5.14  6.01  0.24  0.13  0.35   1.21e-03   1.17e-03   1.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.104   37.9   1.01    225
ABELL_0085                   904   0.00   0.30  3.65  0.00  0.00  3.17  3.08  3.25  1.03  0.92  1.14   3.49e-03   3.36e-03   3.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.381  100.0   1.11    213
ABELL_0085                   904   0.11   0.53  3.65  0.00  0.00  4.09  3.95  4.24  0.69  0.61  0.79   3.81e-03   3.70e-03   3.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.358  100.0   1.04    236
ABELL_0085                   904   0.18   0.76  3.65  0.00  0.00  4.94  4.75  5.14  0.67  0.57  0.77   3.69e-03   3.59e-03   3.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.334  100.0   0.93    243
ABELL_0085                   904   0.24   1.01  3.65  0.00  0.00  5.36  5.13  5.60  0.54  0.43  0.63   3.93e-03   3.85e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.341  100.0   0.94    246
ABELL_0085                   904   0.30   1.28  3.65  0.00  0.00  5.57  5.33  5.83  0.49  0.40  0.59   3.97e-03   3.87e-03   4.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.336  100.0   0.97    251
ABELL_0085                   904   0.36   1.57  3.65  0.00  0.00  5.50  5.26  5.76  0.55  0.45  0.65   3.79e-03   3.69e-03   3.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.326  100.0   1.05    248
ABELL_0085                   904   0.42   1.88  3.65  0.00  0.00  6.06  5.78  6.37  0.49  0.40  0.59   3.95e-03   3.85e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.334  100.0   0.98    254
ABELL_0085                   904   0.48   2.20  3.65  0.00  0.00  6.21  5.91  6.53  0.46  0.37  0.56   3.91e-03   3.82e-03   4.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.329  100.0   1.00    256
ABELL_0085                   904   0.53   2.54  3.65  0.00  0.00  6.52  6.18  6.88  0.45  0.36  0.55   3.91e-03   3.82e-03   4.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.326  100.0   1.04    256
ABELL_0085                   904   0.59   2.92  3.65  0.00  0.00  6.90  6.52  7.32  0.39  0.30  0.49   3.94e-03   3.85e-03   4.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.326  100.0   1.12    260
ABELL_0085                   904   0.65   3.31  3.65  0.00  0.00  7.28  6.86  7.74  0.45  0.35  0.56   3.86e-03   3.78e-03   3.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.320  100.0   1.14    263
ABELL_0085                   904   0.71   3.75  3.65  0.00  0.00  7.33  6.91  7.80  0.50  0.39  0.61   3.89e-03   3.80e-03   3.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.320  100.0   1.06    260
ABELL_0085                   904   0.76   4.79  3.65  0.00  0.00  7.78  7.44  8.14  0.57  0.48  0.65   7.65e-03   7.51e-03   7.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.622  100.0   1.28    337
ABELL_0133                  2203   0.00   0.36  1.56  0.00  0.00  2.31  2.25  2.38  1.20  1.08  1.33   2.13e-03   2.03e-03   2.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.451   97.9   1.29    171
ABELL_0133                  2203   0.36   0.76  1.56  0.00  0.00  3.01  2.91  3.10  0.93  0.83  1.03   2.58e-03   2.49e-03   2.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.441   93.3   1.22    190
ABELL_0133                  2203   0.76   1.39  1.56  0.00  0.00  4.12  3.96  4.28  0.70  0.60  0.81   3.12e-03   3.03e-03   3.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.464   83.0   1.06    223
ABELL_0133                  2203   1.39   2.50  1.56  0.00  0.00  4.49  4.31  4.67  0.44  0.36  0.52   4.53e-03   4.42e-03   4.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0558  0.613   61.9   0.97    274
ABELL_0262                  2215   0.00   0.21  5.64  0.00  0.00  0.98  0.95  1.00  0.22  0.19  0.26   9.10e-04   8.27e-04   9.89e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.153   97.4   2.24     74
ABELL_0262                  2215   0.21   0.34  5.64  0.00  0.00  1.24  1.21  1.28  0.39  0.33  0.46   7.51e-04   6.89e-04   8.19e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.147   95.6   1.53     81
ABELL_0262                  2215   0.34   0.48  5.64  0.00  0.00  1.57  1.52  1.62  0.98  0.82  1.17   5.29e-04   4.77e-04   5.85e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.141   92.7   1.26     87
ABELL_0262                  2215   0.48   0.62  5.64  0.00  0.00  1.64  1.59  1.70  0.92  0.77  1.11   5.63e-04   5.07e-04   6.18e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.137   90.7   1.33     90
ABELL_0262                  2215   0.62   0.77  5.64  0.00  0.00  1.80  1.74  1.87  1.33  1.12  1.63   4.92e-04   4.38e-04   5.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.138   88.0   1.42     93
ABELL_0262                  2215   0.77   0.92  5.64  0.00  0.00  1.99  1.90  2.08  1.06  0.88  1.30   6.03e-04   5.47e-04   6.55e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.133   86.0   0.89     96
